registration_number,id_skill,score
2000,2,9
2000,8,7
2001,6,7
2001,2,1
2002,16,1
2003,18,7
2004,12,5
2005,1,1
2005,4,5
2005,10,10
2005,20,3
2006,2,1
2006,8,10
2006,14,8
2007,6,8
2007,14,10
2007,15,7
2007,19,7
2007,20,2
2008,14,6
2008,16,7
2008,20,2
2009,13,9
2010,6,6
2010,7,1
2010,8,4
2011,7,4
2011,18,8
2011,19,2
2012,1,7
2012,2,4
2012,12,10
2012,20,9
2013,4,8
2013,13,2
2014,5,2
2014,7,6
2014,10,6
2014,17,5
2014,19,2
2015,8,2
2015,10,5
2015,13,7
2015,5,4
2016,5,10
2016,12,10
2016,19,10
2016,20,2
2017,1,1
2017,16,1
2017,14,6
2020,3,5
2020,9,4
2020,7,5
2020,4,7
2021,7,7
2021,16,3
2021,15,6
2022,8,8
2023,6,10
2023,13,8
2024,6,4
2024,1,7
2024,16,7
2025,1,4
2025,10,6
2025,15,8
2025,17,7
2025,9,4
2028,1,6
2028,6,6
2028,13,2
2028,9,10
2029,12,8
2029,17,5
2029,6,9
2029,13,2
2030,5,7
2031,1,10
2031,17,6
2032,9,4
2034,1,7
2034,17,1
2035,1,8
2035,10,1
2035,9,1
2036,3,5
2036,6,1
2036,10,9
2036,11,3
2036,14,2
2036,20,6
2037,16,9
2037,7,1
2039,7,6
2039,10,6
2039,12,3
2039,19,5
2040,5,1
2040,7,9
2040,3,7
2041,6,4
2043,1,1
2043,14,7
2043,15,8
2044,5,3
2044,3,5
2045,13,9
2046,10,7
2046,19,9
2046,20,2
2047,14,1
2048,9,7
2048,13,9
2048,3,5
2049,6,10
2049,14,6
2049,20,10
2050,6,1
2050,17,4
2050,18,10
2052,6,1
2052,7,4
2052,13,7
2052,14,8
2052,15,3
2053,10,4
2053,18,8
2054,10,5
2054,11,10
2054,17,7
2055,3,3
2055,4,5
2056,6,10
2056,8,3
2056,12,2
2056,14,2
2056,7,9
2056,17,10
2057,7,4
2058,7,7
2058,13,5
2058,10,5
2058,12,1
2058,3,1
2058,2,9
2059,2,10
2059,6,10
2060,15,7
2060,12,6
2061,20,2
2061,7,5
2062,9,4
2063,17,7
2064,4,3
2064,1,3
2065,5,3
2066,3,1
2066,17,3
2066,4,5
2066,6,9
2066,9,7
2067,9,3
2068,17,1
2068,8,2
2069,13,5
2069,15,10
2069,17,6
2069,11,4
2069,9,6
2071,1,10
2071,18,2
2072,8,4
2072,18,3
2072,19,3
2073,10,3
2073,17,9
2073,5,8
2073,18,5
2074,4,4
2074,13,7
2074,17,4
2074,18,7
2074,9,3
2075,4,10
2076,11,1
2076,13,2
2076,3,10
2077,4,8
2077,7,9
2077,8,10
2078,10,2
2079,5,6
2079,12,5
2079,13,7
2079,14,4
2080,3,8
2081,19,5
2081,15,6
2082,7,4
2082,18,1
2083,14,7
2083,18,9
2083,8,6
2083,20,8
2083,16,5
2083,2,6
2084,1,9
2084,4,9
2084,2,1
2084,5,4
2084,19,10
2085,9,7
2085,11,8
2085,18,6
2085,3,9
2087,18,1
2088,13,7
2089,5,3
2089,18,8
2089,19,5
2090,10,2
2092,6,8
2092,9,5
2093,5,6
2093,10,2
2093,14,2
2094,13,6
2095,7,4
2095,8,6
2096,7,8
2096,16,3
2096,19,2
2096,11,1
2097,11,6
2099,16,4
2099,3,5
2099,7,8
2100,14,7
2100,17,1
2100,18,5
2102,5,9
2102,16,8
2102,6,10
2103,14,10
2103,19,2
2104,12,4
2104,20,4
2104,5,2
2105,2,6
2105,4,10
2105,8,3
2105,10,1
2106,9,7
2106,10,5
2107,5,10
2107,19,3
2107,15,4
2108,1,8
2108,16,1
2109,8,3
2109,12,6
2109,7,7
2109,14,10
2110,8,4
2110,12,9
2110,14,9
2110,4,8
2110,3,2
2110,9,8
2110,6,2
2111,4,4
2111,11,10
2111,1,10
2112,1,5
2112,18,4
2112,20,7
2113,13,9
2113,19,5
2113,8,10
2113,10,6
2114,4,6
2114,14,2
2114,15,7
2115,12,9
2116,4,10
2116,8,8
2116,13,5
2117,3,10
2117,7,5
2117,9,9
2117,14,5
2117,11,8
2117,2,2
2118,2,9
2118,15,1
2118,6,9
2118,18,3
2119,6,10
2119,19,6
2119,1,3
2119,13,5
2119,8,3
2120,13,6
2121,10,7
2122,7,8
2123,3,10
2123,9,3
2123,12,6
2123,8,3
2124,6,8
2124,7,2
2124,15,10
2124,14,6
2125,17,7
2125,12,8
2125,14,7
2125,8,2
2126,9,5
2126,11,5
2126,17,8
2127,6,6
2127,7,1
2127,14,1
2127,16,7
2128,7,1
2128,14,1
2128,4,9
2129,2,5
2129,6,8
2130,11,1
2130,10,6
2130,8,2
2131,1,3
