registration_number,id_skill,score
2000,2,9
2001,6,7
2002,16,1
2003,18,7
2005,1,1
2005,4,5
2005,10,10
2006,2,1
2007,6,8
2007,14,10
2007,15,7
2007,19,7
2007,20,2
2008,14,6
2008,16,7
2009,13,9
2010,6,6
2010,7,1
2010,8,4
2011,7,4
2011,18,8
2011,19,2
2012,1,7
2012,2,4
2012,12,10
2012,20,9
2013,4,8
2014,5,2
2014,7,6
2014,10,6
2014,17,5
2015,8,2
2015,8,5
2015,10,7
2015,13,10
2016,5,10
2016,12,10
2016,19,2
2016,20,1
2017,1,1
2017,16,5
2020,3,4
2020,9,7
2021,7,10
2023,6,4
2024,6,4
2025,1,6
2025,10,8
2025,15,7
2025,17,6
2028,1,6
2028,6,8
2029,12,7
2030,5,10
2031,1,6
2031,17,7
2034,1,1
2034,17,8
2035,1,1
2035,10,5
2036,3,1
2036,6,9
2036,10,3
2036,11,2
2036,14,6
2036,20,9
2037,16,6
2039,7,6
2039,10,3
2039,12,5
2039,19,1
2043,1,7
2043,14,8
2043,15,9
2045,13,7
2046,10,9
2046,19,2
2046,20,1
2047,14,7
2048,9,9
2048,13,10
2049,6,6
2049,14,1
2050,6,1
2052,6,4
2052,7,7
2052,13,4
2053,10,5
2054,10,10
2054,11,3
2055,3,5
2055,4,10
2056,6,3
2056,8,2
2056,12,2
2056,14,4
2057,7,7
2058,7,5
2058,13,5
2058,10,10
2059,2,10
2059,6,2
2061,20,4
2062,9,3
2064,4,3
2065,5,1
2066,3,3
2066,17,1
2068,17,5
2069,13,10
2069,15,6
2069,17,10
2071,1,2
2071,18,4
2072,8,3
2072,18,3
2072,19,3
2073,10,4
2074,4,7
2074,13,4
2074,17,7
2074,18,10
2075,4,1
2076,11,2
2076,13,8
2077,4,9
2077,7,6
2079,5,5
2079,12,7
2079,13,5
2081,19,4
2082,7,7
2083,14,9
2083,18,9
2084,1,9
2084,4,1
2084,2,4
2084,5,10
2084,19,7
2085,9,8
2085,11,6
2085,18,1
2087,18,7
2088,13,3
2089,5,2
2090,10,8
2092,6,6
2093,5,2
2093,10,6
2094,13,4
2095,7,6
2095,8,8
2096,7,3
2096,16,7
2100,14,1
2100,17,5
2100,18,9
2102,5,8
2102,16,10
2103,14,4
2104,12,4
2104,20,6
2105,2,10
2105,4,3
2105,2,1
2105,8,7
2105,10,10
2106,9,3
2107,5,8
2107,19,1
2108,1,3
2108,16,6
2109,8,7
